clip_id,filepath,class,speaker_id,speaker_gender,speaker_age_range,environment,device,language,duration_s,peak,rms,snr_db_est,recorded_at,split
21,raw/tono/Sebas_s21_000021.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.262,0.0169,38.59,2026-05-16T22:08:04+00:00,train
23,raw/tono/Sebas_s23_000023.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3362,0.0185,34.76,2026-05-16T22:08:17+00:00,train
24,raw/tono/Sebas_s24_000024.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2701,0.016,39.79,2026-05-16T22:08:24+00:00,train
27,raw/tono/Sebas_s27_000027.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2882,0.0171,40.53,2026-05-16T22:08:43+00:00,train
28,raw/tono/Sebas_s28_000028.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2572,0.0165,39.57,2026-05-16T22:08:49+00:00,train
30,raw/tono/Sebas_s30_000030.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2945,0.0177,35.0,2026-05-16T22:09:02+00:00,train
32,raw/tono/Sebas_s32_000032.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2459,0.0168,40.29,2026-05-16T22:09:15+00:00,train
34,raw/tono/Sebas_s34_000034.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1809,0.0155,40.17,2026-05-16T22:09:28+00:00,train
35,raw/tono/Sebas_s35_000035.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2786,0.0177,40.01,2026-05-16T22:09:34+00:00,train
36,raw/tono/Sebas_s36_000036.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2645,0.0186,41.8,2026-05-16T22:09:41+00:00,train
38,raw/tono/Sebas_s38_000038.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2244,0.0164,38.02,2026-05-16T22:09:54+00:00,train
39,raw/tono/Sebas_s39_000039.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2312,0.0156,40.76,2026-05-16T22:10:00+00:00,train
40,raw/tono/Sebas_s40_000040.wav,tono,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3795,0.0217,38.8,2026-05-16T22:10:07+00:00,train
42,raw/apaga/Sebas_s02_000042.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3029,0.0188,39.9,2026-05-16T22:10:28+00:00,train
43,raw/apaga/Sebas_s03_000043.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3614,0.0222,40.18,2026-05-16T22:10:34+00:00,train
44,raw/apaga/Sebas_s04_000044.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.245,0.016,41.66,2026-05-16T22:10:40+00:00,train
45,raw/apaga/Sebas_s05_000045.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3012,0.0172,39.8,2026-05-16T22:10:47+00:00,train
46,raw/apaga/Sebas_s06_000046.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3093,0.0175,39.53,2026-05-16T22:10:53+00:00,train
47,raw/apaga/Sebas_s07_000047.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3995,0.0208,40.43,2026-05-16T22:11:00+00:00,train
48,raw/apaga/Sebas_s08_000048.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3613,0.0185,38.57,2026-05-16T22:11:06+00:00,train
50,raw/apaga/Sebas_s10_000050.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3496,0.0189,41.42,2026-05-16T22:11:19+00:00,train
52,raw/apaga/Sebas_s12_000052.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2586,0.0163,40.38,2026-05-16T22:11:32+00:00,train
57,raw/apaga/Sebas_s17_000057.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3615,0.0185,39.21,2026-05-16T22:12:04+00:00,train
58,raw/apaga/Sebas_s18_000058.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3291,0.016,39.51,2026-05-16T22:12:11+00:00,train
59,raw/apaga/Sebas_s19_000059.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3511,0.0184,40.62,2026-05-16T22:12:17+00:00,train
60,raw/apaga/Sebas_s20_000060.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.45,0.0243,42.88,2026-05-16T22:12:24+00:00,train
61,raw/apaga/Sebas_s21_000061.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3677,0.0175,40.21,2026-05-16T22:12:30+00:00,train
62,raw/apaga/Sebas_s22_000062.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3593,0.0186,41.06,2026-05-16T22:12:37+00:00,train
63,raw/apaga/Sebas_s23_000063.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3121,0.0164,40.19,2026-05-16T22:12:43+00:00,train
64,raw/apaga/Sebas_s24_000064.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2823,0.0157,39.37,2026-05-16T22:12:50+00:00,train
65,raw/apaga/Sebas_s25_000065.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2858,0.0151,38.54,2026-05-16T22:12:56+00:00,train
67,raw/apaga/Sebas_s27_000067.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2685,0.0145,21.67,2026-05-16T22:13:09+00:00,train
69,raw/apaga/Sebas_s29_000069.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2889,0.0161,39.47,2026-05-16T22:13:22+00:00,train
70,raw/apaga/Sebas_s30_000070.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2503,0.015,37.52,2026-05-16T22:13:28+00:00,train
74,raw/apaga/Sebas_s34_000074.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2668,0.0143,37.82,2026-05-16T22:13:54+00:00,train
75,raw/apaga/Sebas_s35_000075.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3607,0.0187,39.69,2026-05-16T22:14:01+00:00,train
76,raw/apaga/Sebas_s36_000076.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2512,0.0123,37.62,2026-05-16T22:14:07+00:00,train
77,raw/apaga/Sebas_s37_000077.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2759,0.017,36.01,2026-05-16T22:14:13+00:00,train
78,raw/apaga/Sebas_s38_000078.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2705,0.0159,36.58,2026-05-16T22:14:20+00:00,train
79,raw/apaga/Sebas_s39_000079.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.329,0.0153,38.61,2026-05-16T22:14:26+00:00,train
80,raw/apaga/Sebas_s40_000080.wav,apaga,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3088,0.0154,39.73,2026-05-16T22:14:33+00:00,train
82,raw/alarma/Sebas_s02_000082.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3581,0.0196,38.2,2026-05-16T22:14:54+00:00,train
83,raw/alarma/Sebas_s03_000083.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3534,0.0199,38.96,2026-05-16T22:15:00+00:00,train
84,raw/alarma/Sebas_s04_000084.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2998,0.0203,37.28,2026-05-16T22:15:07+00:00,train
85,raw/alarma/Sebas_s05_000085.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.207,0.0168,37.08,2026-05-16T22:15:13+00:00,train
87,raw/alarma/Sebas_s07_000087.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3645,0.0177,36.85,2026-05-16T22:15:26+00:00,train
88,raw/alarma/Sebas_s08_000088.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2797,0.0169,38.73,2026-05-16T22:15:32+00:00,train
89,raw/alarma/Sebas_s09_000089.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3195,0.0163,37.62,2026-05-16T22:15:39+00:00,train
91,raw/alarma/Sebas_s11_000091.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.4078,0.0209,41.95,2026-05-16T22:15:52+00:00,train
93,raw/alarma/Sebas_s13_000093.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3254,0.0185,41.26,2026-05-16T22:16:04+00:00,train
95,raw/alarma/Sebas_s15_000095.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.289,0.0168,39.33,2026-05-16T22:16:17+00:00,train
96,raw/alarma/Sebas_s16_000096.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.318,0.0195,41.15,2026-05-16T22:16:24+00:00,train
98,raw/alarma/Sebas_s18_000098.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2913,0.0153,37.97,2026-05-16T22:16:37+00:00,train
99,raw/alarma/Sebas_s19_000099.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.4568,0.0193,40.66,2026-05-16T22:16:43+00:00,train
101,raw/alarma/Sebas_s21_000101.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3631,0.0206,40.48,2026-05-16T22:16:56+00:00,train
102,raw/alarma/Sebas_s22_000102.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.4568,0.0234,31.64,2026-05-16T22:17:03+00:00,train
103,raw/alarma/Sebas_s23_000103.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3723,0.0184,39.06,2026-05-16T22:17:09+00:00,train
104,raw/alarma/Sebas_s24_000104.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3937,0.0212,40.57,2026-05-16T22:17:15+00:00,train
105,raw/alarma/Sebas_s25_000105.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.5472,0.0244,43.75,2026-05-16T22:17:28+00:00,train
106,raw/alarma/Sebas_s26_000106.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3908,0.0214,42.39,2026-05-16T22:17:34+00:00,train
107,raw/alarma/Sebas_s27_000107.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3783,0.017,40.82,2026-05-16T22:17:41+00:00,train
108,raw/alarma/Sebas_s28_000108.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2491,0.0153,39.66,2026-05-16T22:17:47+00:00,train
110,raw/alarma/Sebas_s30_000110.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.277,0.0155,39.37,2026-05-16T22:18:00+00:00,train
112,raw/alarma/Sebas_s32_000112.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3067,0.0169,40.62,2026-05-16T22:18:13+00:00,train
114,raw/alarma/Sebas_s34_000114.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3387,0.0172,41.14,2026-05-16T22:18:26+00:00,train
115,raw/alarma/Sebas_s35_000115.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3536,0.0179,40.26,2026-05-16T22:18:32+00:00,train
117,raw/alarma/Sebas_s37_000117.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.5422,0.0254,41.8,2026-05-16T22:18:45+00:00,train
118,raw/alarma/Sebas_s38_000118.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.4458,0.0227,43.06,2026-05-16T22:18:52+00:00,train
119,raw/alarma/Sebas_s39_000119.wav,alarma,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3213,0.0191,40.58,2026-05-16T22:18:58+00:00,train
121,raw/rojo/Sebas_s01_000121.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2978,0.0167,38.73,2026-05-16T22:19:19+00:00,train
123,raw/rojo/Sebas_s03_000123.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2327,0.0138,38.67,2026-05-16T22:19:32+00:00,train
124,raw/rojo/Sebas_s04_000124.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1988,0.0165,32.69,2026-05-16T22:19:38+00:00,train
125,raw/rojo/Sebas_s05_000125.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2233,0.0164,37.56,2026-05-16T22:19:45+00:00,train
126,raw/rojo/Sebas_s06_000126.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2403,0.016,37.03,2026-05-16T22:19:51+00:00,train
128,raw/rojo/Sebas_s08_000128.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2067,0.0152,33.94,2026-05-16T22:20:04+00:00,train
129,raw/rojo/Sebas_s09_000129.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1658,0.0108,33.84,2026-05-16T22:20:10+00:00,train
130,raw/rojo/Sebas_s10_000130.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2128,0.0165,40.03,2026-05-16T22:20:17+00:00,train
131,raw/rojo/Sebas_s11_000131.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2441,0.0168,33.6,2026-05-16T22:20:23+00:00,train
134,raw/rojo/Sebas_s14_000134.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3076,0.022,41.39,2026-05-16T22:20:43+00:00,train
135,raw/rojo/Sebas_s15_000135.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2485,0.0206,39.93,2026-05-16T22:20:49+00:00,train
137,raw/rojo/Sebas_s17_000137.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3014,0.0217,42.55,2026-05-16T22:21:02+00:00,train
138,raw/rojo/Sebas_s18_000138.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2459,0.0168,40.98,2026-05-16T22:21:08+00:00,train
140,raw/rojo/Sebas_s20_000140.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2072,0.0177,25.74,2026-05-16T22:21:21+00:00,train
142,raw/rojo/Sebas_s22_000142.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3804,0.0323,45.47,2026-05-16T22:21:34+00:00,train
143,raw/rojo/Sebas_s23_000143.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3664,0.0244,42.64,2026-05-16T22:21:41+00:00,train
144,raw/rojo/Sebas_s24_000144.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2498,0.0178,41.7,2026-05-16T22:21:47+00:00,train
145,raw/rojo/Sebas_s25_000145.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2709,0.0186,37.19,2026-05-16T22:21:54+00:00,train
146,raw/rojo/Sebas_s26_000146.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2832,0.0193,34.05,2026-05-16T22:22:00+00:00,train
147,raw/rojo/Sebas_s27_000147.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3559,0.0222,42.01,2026-05-16T22:22:06+00:00,train
148,raw/rojo/Sebas_s28_000148.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2232,0.0175,33.27,2026-05-16T22:22:13+00:00,train
152,raw/rojo/Sebas_s32_000152.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1776,0.016,34.49,2026-05-16T22:22:39+00:00,train
153,raw/rojo/Sebas_s33_000153.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2905,0.0248,40.56,2026-05-16T22:22:45+00:00,train
155,raw/rojo/Sebas_s35_000155.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2076,0.0143,28.03,2026-05-16T22:22:58+00:00,train
156,raw/rojo/Sebas_s36_000156.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2435,0.0158,36.15,2026-05-16T22:23:04+00:00,train
157,raw/rojo/Sebas_s37_000157.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2612,0.0195,40.19,2026-05-16T22:23:11+00:00,train
158,raw/rojo/Sebas_s38_000158.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2107,0.0163,39.43,2026-05-16T22:23:17+00:00,train
159,raw/rojo/Sebas_s39_000159.wav,rojo,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2288,0.013,36.96,2026-05-16T22:23:24+00:00,train
161,raw/off/Sebas_s01_000161.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2694,0.0145,30.44,2026-05-16T22:23:45+00:00,train
162,raw/off/Sebas_s02_000162.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2241,0.0142,35.6,2026-05-16T22:23:51+00:00,train
163,raw/off/Sebas_s03_000163.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3013,0.0164,41.48,2026-05-16T22:24:03+00:00,train
165,raw/off/Sebas_s05_000165.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.228,0.0137,28.73,2026-05-16T22:24:16+00:00,train
168,raw/off/Sebas_s08_000168.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2261,0.0151,28.47,2026-05-16T22:24:36+00:00,train
169,raw/off/Sebas_s09_000169.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2087,0.0175,35.73,2026-05-16T22:24:42+00:00,train
170,raw/off/Sebas_s10_000170.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2378,0.0168,34.85,2026-05-16T22:24:49+00:00,train
171,raw/off/Sebas_s11_000171.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2445,0.015,36.43,2026-05-16T22:24:55+00:00,train
176,raw/off/Sebas_s16_000176.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2414,0.0137,33.86,2026-05-16T22:25:27+00:00,train
177,raw/off/Sebas_s17_000177.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1909,0.0151,36.38,2026-05-16T22:25:34+00:00,train
178,raw/off/Sebas_s18_000178.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1683,0.0121,34.68,2026-05-16T22:25:40+00:00,train
179,raw/off/Sebas_s19_000179.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.16,0.0101,36.67,2026-05-16T22:25:47+00:00,train
180,raw/off/Sebas_s20_000180.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1875,0.0118,37.89,2026-05-16T22:25:53+00:00,train
181,raw/off/Sebas_s21_000181.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2184,0.013,38.74,2026-05-16T22:25:59+00:00,train
182,raw/off/Sebas_s22_000182.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2193,0.0135,38.36,2026-05-16T22:26:06+00:00,train
183,raw/off/Sebas_s23_000183.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.21,0.0118,33.4,2026-05-16T22:26:12+00:00,train
184,raw/off/Sebas_s24_000184.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2736,0.0175,38.64,2026-05-16T22:26:19+00:00,train
186,raw/off/Sebas_s26_000186.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2673,0.0156,39.91,2026-05-16T22:26:32+00:00,train
187,raw/off/Sebas_s27_000187.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2168,0.0134,36.61,2026-05-16T22:26:38+00:00,train
189,raw/off/Sebas_s29_000189.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2001,0.0137,33.23,2026-05-16T22:26:51+00:00,train
190,raw/off/Sebas_s30_000190.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2331,0.0146,38.7,2026-05-16T22:26:57+00:00,train
192,raw/off/Sebas_s32_000192.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1635,0.0115,35.86,2026-05-16T22:27:10+00:00,train
193,raw/off/Sebas_s33_000193.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1812,0.0125,36.51,2026-05-16T22:27:17+00:00,train
194,raw/off/Sebas_s34_000194.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2061,0.0149,38.29,2026-05-16T22:27:23+00:00,train
195,raw/off/Sebas_s35_000195.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2175,0.0142,37.95,2026-05-16T22:27:30+00:00,train
196,raw/off/Sebas_s36_000196.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1955,0.0133,38.73,2026-05-16T22:27:36+00:00,train
198,raw/off/Sebas_s38_000198.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2296,0.0157,39.98,2026-05-16T22:27:49+00:00,train
199,raw/off/Sebas_s39_000199.wav,off,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1807,0.0123,37.46,2026-05-16T22:27:55+00:00,train
201,raw/blanco/Sebas_s01_000201.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.4304,0.0241,41.88,2026-05-16T22:28:16+00:00,train
202,raw/blanco/Sebas_s02_000202.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3047,0.0178,39.39,2026-05-16T22:28:23+00:00,train
203,raw/blanco/Sebas_s03_000203.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.3957,0.0168,39.27,2026-05-16T22:28:29+00:00,train
204,raw/blanco/Sebas_s04_000204.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2558,0.0164,38.64,2026-05-16T22:28:36+00:00,train
205,raw/blanco/Sebas_s05_000205.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1885,0.0141,35.02,2026-05-16T22:28:42+00:00,train
207,raw/blanco/Sebas_s07_000207.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.1655,0.0121,36.23,2026-05-16T22:28:55+00:00,train
208,raw/blanco/Sebas_s08_000208.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.283,0.0139,37.4,2026-05-16T22:29:01+00:00,train
209,raw/blanco/Sebas_s09_000209.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.329,0.0167,38.59,2026-05-16T22:29:08+00:00,train
211,raw/blanco/Sebas_s11_000211.wav,blanco,Sebas,M,18-25,salon_silencioso,dji_mic_mini,es,2.0,0.2092,0.0145,38.28,2026-05-16T22:29:21+00:00,train
